From,To,Species,Gene Name
FBgn0037999,41480,Drosophila melanogaster,CG4860 gene product from transcript CG4860-RA(CG4860)
FBgn0026619,36405,Drosophila melanogaster,Tafazzin(Taz)
FBgn0030352,32151,Drosophila melanogaster,severe impairment of CI with lengthened youth(sicily)
FBgn0029131,53585,Drosophila melanogaster,Death executioner Bcl-2 homologue(Debcl)
FBgn0010352,39899,Drosophila melanogaster,Neural conserved at 73EF(Nc73EF)
FBgn0027580,36020,Drosophila melanogaster,Pyruvate carboxylase(PCB)
FBgn0033883,36540,Drosophila melanogaster,CG16935 gene product from transcript CG16935-RA(CG16935)
FBgn0033079,35561,Drosophila melanogaster,Flavin-containing monooxygenase 2(Fmo-2)
FBgn0036210,39335,Drosophila melanogaster,CG14130 gene product from transcript CG14130-RA(CG14130)
FBgn0037801,41253,Drosophila melanogaster,CG3999 gene product from transcript CG3999-RA(CG3999)
FBgn0035852,38915,Drosophila melanogaster,CG7387 gene product from transcript CG7387-RA(CG7387)
FBgn0033074,35553,Drosophila melanogaster,CG8330 gene product from transcript CG8330-RA(tomboy40)
FBgn0036162,39281,Drosophila melanogaster,CG6140 gene product from transcript CG6140-RB(CG6140)
FBgn0030686,32523,Drosophila melanogaster,mitochondrial ribosomal protein L3(mRpL3)
FBgn0030482,32297,Drosophila melanogaster,CG1673 gene product from transcript CG1673-RA(CG1673)
FBgn0039737,43562,Drosophila melanogaster,CG7920 gene product from transcript CG7920-RA(CG7920)
FBgn0260407,318977,Drosophila melanogaster,mitochondrial ribosomal protein S23(mRpS23)
FBgn0002354,49762,Drosophila melanogaster,lethal (3) 87Df(l(3)87Df)
FBgn0028848,34776,Drosophila melanogaster,CG7311 gene product from transcript CG7311-RD(CG7311)
FBgn0031728,33796,Drosophila melanogaster,CG7235 gene product from transcript CG7235-RA(Hsp60C)
FBgn0030478,32292,Drosophila melanogaster,CG1640 gene product from transcript CG1640-RB(CG1640)
FBgn0028436,40732,Drosophila melanogaster,CG10610 gene product from transcript CG10610-RA(ECSIT)
FBgn0026566,40814,Drosophila melanogaster,CG1307 gene product from transcript CG1307-RE(CG1307)
FBgn0039126,42826,Drosophila melanogaster,CG13601 gene product from transcript CG13601-RA(CG13601)
FBgn0039020,42697,Drosophila melanogaster,CG17141 gene product from transcript CG17141-RA(CG17141)
FBgn0050022,36233,Drosophila melanogaster,CG30022 gene product from transcript CG30022-RB(CG30022)
FBgn0030679,32516,Drosophila melanogaster,CG8206 gene product from transcript CG8206-RB(CG8206)
FBgn0037816,41271,Drosophila melanogaster,CG6345 gene product from transcript CG6345-RA(CG6345)
FBgn0026761,35559,Drosophila melanogaster,CG3152 gene product from transcript CG3152-RA(Trap1)
