Accession,Glean.Accession,Annotation.symbol,FlyBase.ID,CG.ID,MF.Ratio,P.value
GLEAN_05436,GLEAN_05436,GA10276,FBgn0070334,CG10365,2.324950499,0
GLEAN_08473,GLEAN_08473,GA10277,FBgn0070335,CG10366,0.745148566,0
GLEAN_06039,GLEAN_06039,GA10278,FBgn0070336,CG10367,1.07393003,6.72E-09
GLEAN_01860,GLEAN_01860,GA10279,FBgn0070337,CG10369,1.143059102,5.00E-15
GLEAN_06040,GLEAN_06040,GA10280,FBgn0070338,CG10370,0.597619861,3.00E-15
GLEAN_06041,GLEAN_06041,GA10281,FBgn0070339,CG10371,0.756808396,2.32E-09
GLEAN_01861,GLEAN_01861,GA10282,FBgn0070340,CG10372,1.125604499,0.00000403
GLEAN_06042,GLEAN_06042,GA10284,FBgn0070342,CG10374,0.993652978,0.72576706
GLEAN_06043,GLEAN_06043,GA10285,FBgn0070343,CG10375,0.862860954,0
GLEAN_01975,GLEAN_01975,GA10286,FBgn0070344,CG10376,0.88172459,0
GLEAN_08415,GLEAN_08415,GA10287,FBgn0070345,CG10377,0.444390537,0
GLEAN_06044,GLEAN_06044,GA10288,FBgn0070346,CG10379,0.861426732,8.83E-12
GLEAN_16342,GLEAN_16342,GA10289,FBgn0070347,CG10382,1.13492739,8.13E-12
GLEAN_01976,GLEAN_01976,GA10290,FBgn0070348,CG10383,1.159417366,4.64E-12
GLEAN_01977,GLEAN_01977,,FBgn0070350,CG10385,0.977900781,0.02802922
GLEAN_01978,GLEAN_01978,GA10293,FBgn0070351,CG10387,0.299701872,0
GLEAN_17488,GLEAN_17488,GA10297,FBgn0070355,CG10395,0.602903914,0
GLEAN_08418,GLEAN_08418,GA10298,FBgn0070356,CG10399,0.854942916,0
GLEAN_06591,GLEAN_06591,GA10299,FBgn0070357,CG10405,0.966988073,0.1800317
GLEAN_06661,GLEAN_06661,GA10300,FBgn0070358,CG10406,1.034769904,0.00809077
GLEAN_06860,GLEAN_06860,GA10301,FBgn0070359,CG10407,2.70213546,0
GLEAN_02242,GLEAN_02242,GA10302,FBgn0070360,CG10413,0.966425214,0.00000227
GLEAN_02241,GLEAN_02241,GA10303,FBgn0070361,CG10414,0.746130558,0
GLEAN_14352,GLEAN_14352,GA10304,FBgn0070362,CG10415,0.729611311,0
GLEAN_15179,GLEAN_15179,GA10305,FBgn0070363,CG10418,0.96066145,1.52E-08
GLEAN_09769,GLEAN_09769,GA10306,FBgn0070364,CG10419,0.513807552,0
GLEAN_07055,GLEAN_07055,GA10307,FBgn0070365,CG10420,0.90682747,3.80E-14
GLEAN_07057,GLEAN_07057,GA10308,FBgn0070366,CG13664,1.144882864,4.81E-11
GLEAN_07054,GLEAN_07054,GA10309,FBgn0070367,CG10422,0.579106261,0
GA10310,,GA10310,FBgn0070368,CG10423,0.589596555,0.00008075
GLEAN_19855,GLEAN_19855,GA10310,FBgn0070368,CG10423,0.620928906,3.36E-13
GLEAN_06530,GLEAN_06530,GA10311,FBgn0070369,CG10425,0.702417162,0
GLEAN_01979,GLEAN_01979,GA10313,FBgn0070371,CG10428,0.713358899,0
GLEAN_01981,GLEAN_01981,GA10314,FBgn0070372,CG10431,0.958227418,3.92E-08
GLEAN_16286,GLEAN_16286,GA10315,FBgn0070373,CG10433,1.326937114,0
GLEAN_06757,GLEAN_06757,GA10316,FBgn0070374,CG10435,0.724370651,0
GLEAN_15181,GLEAN_15181,GA10317,FBgn0070375,CG10436,1.198309021,2.90E-14
GLEAN_06312,GLEAN_06312,GA10321,FBgn0070379,CG10445,0.675533865,0
GLEAN_08392,GLEAN_08392,GA10323,FBgn0070381,CG10447,0.789603341,0
GLEAN_02428,GLEAN_02428,GA10324,FBgn0070382,CG10449,0.827654183,0.00000082
GLEAN_17702,GLEAN_17702,GA10327,FBgn0070385,CG10460,0.881907959,0.0000609
GLEAN_08382,GLEAN_08382,GA10328,FBgn0070386,CG10462,0.655605562,0
GLEAN_08393,GLEAN_08393,GA10329,FBgn0070387,CG10463,0.481831293,0
GLEAN_17481,GLEAN_17481,GA10330,FBgn0070388,CG10465,0.725576683,3.10E-14
GLEAN_08395,GLEAN_08395,GA10331,FBgn0070389,CG10466,0.764612134,2.03E-09
